timestamp,open,high,low,close,volume
2023-01-01 22:04:00,1.0697,1.06974,1.0697,1.0697,4.5
2023-01-01 22:05:00,1.06973,1.06978,1.0697,1.06971,6.3
2023-01-01 22:06:00,1.06966,1.06966,1.06966,1.06966,0.9
2023-01-01 22:08:00,1.0697,1.06974,1.0697,1.06974,1.8
2023-01-01 22:10:00,1.06975,1.0698,1.06972,1.06972,5.4
2023-01-01 22:11:00,1.06972,1.06972,1.06972,1.06972,0.9
2023-01-01 22:12:00,1.06975,1.0698,1.06975,1.0698,1.8
2023-01-01 22:13:00,1.07066,1.07066,1.06917,1.06943,11.7
2023-01-01 22:14:00,1.06937,1.06937,1.06899,1.06899,2.24
2023-01-01 22:15:00,1.06788,1.06788,1.06788,1.06788,5.4
2023-01-01 22:16:00,1.06788,1.06788,1.06788,1.06788,0.9
2023-01-01 22:42:00,1.06904,1.06958,1.06904,1.06928,57.96
2023-01-01 22:43:00,1.06951,1.06956,1.06934,1.06956,41.4
2023-01-01 22:45:00,1.06962,1.07033,1.06879,1.06879,287.46
2023-01-01 22:46:00,1.06957,1.07034,1.0686,1.06938,332.54
2023-01-01 22:47:00,1.06954,1.07061,1.0688,1.06885,900.9
2023-01-01 22:48:00,1.07006,1.07018,1.0686,1.06945,402.98
2023-01-01 22:49:00,1.06944,1.06971,1.06894,1.06947,86.94
2023-01-01 22:50:00,1.06944,1.07007,1.06879,1.07001,139.68
2023-01-01 22:51:00,1.06934,1.06954,1.0686,1.0686,40.82
2023-01-01 22:52:00,1.06956,1.06956,1.06936,1.06936,8.28
2023-01-01 22:53:00,1.06881,1.06881,1.06881,1.06881,4.14
2023-01-01 22:55:00,1.06879,1.06879,1.06875,1.06875,8.28
2023-01-01 22:56:00,1.06954,1.06954,1.06874,1.06874,62.1
2023-01-01 22:57:00,1.06936,1.06952,1.06936,1.06946,24.84
2023-01-01 22:58:00,1.06855,1.06897,1.06823,1.06897,28.98
2023-01-01 22:59:00,1.06929,1.06929,1.06929,1.06929,8.28
2023-01-01 23:00:00,1.06896,1.06931,1.06896,1.06931,24.84
2023-01-01 23:01:00,1.06931,1.06931,1.06929,1.06929,8.28
2023-01-01 23:02:00,1.06896,1.06929,1.06895,1.06929,33.12
2023-01-01 23:03:00,1.06896,1.06929,1.06896,1.0691,45.54
2023-01-01 23:04:00,1.06863,1.06941,1.06863,1.06941,45.54
2023-01-01 23:05:00,1.06942,1.06953,1.069,1.06943,70.38
2023-01-01 23:06:00,1.06909,1.06943,1.06856,1.06856,24.84
2023-01-01 23:07:00,1.0685,1.0685,1.0684,1.0684,16.56
2023-01-01 23:08:00,1.0684,1.0684,1.06836,1.0684,12.42
2023-01-01 23:10:00,1.06916,1.06917,1.06829,1.06829,17.0
2023-01-01 23:11:00,1.06917,1.06922,1.06917,1.06917,28.98
2023-01-01 23:12:00,1.0683,1.0704,1.0683,1.0695,19.08
2023-01-01 23:13:00,1.0695,1.0695,1.06949,1.06949,27.5
2023-01-01 23:14:00,1.06949,1.06949,1.06895,1.06895,5.24
2023-01-01 23:15:00,1.06933,1.06933,1.06933,1.06933,4.14
2023-01-01 23:18:00,1.06895,1.0695,1.06849,1.06893,23.22
2023-01-01 23:19:00,1.0695,1.06951,1.0695,1.0695,32.4
2023-01-01 23:20:00,1.06947,1.07024,1.06941,1.06942,99.36
2023-01-01 23:21:00,1.07047,1.07047,1.06934,1.0695,113.04
2023-01-01 23:22:00,1.0695,1.07041,1.06937,1.0695,100.44
2023-01-01 23:23:00,1.06944,1.0695,1.06937,1.0695,101.16
2023-01-01 23:24:00,1.0695,1.06951,1.06939,1.0695,55.08
2023-01-01 23:25:00,1.0695,1.0695,1.06936,1.0695,81.0
2023-01-01 23:26:00,1.0695,1.06951,1.06939,1.0695,65.88
2023-01-01 23:27:00,1.0695,1.07044,1.0694,1.06943,96.3
2023-01-01 23:28:00,1.0695,1.0695,1.06939,1.0695,39.24
2023-01-01 23:29:00,1.06939,1.06951,1.06939,1.0695,98.46
