timestamp,open_price,high_price,low_price,closing_price,volume
2025-11-21T05:00:00,80.29,83.1,76.37,79.21,97285362.0
2025-11-20T05:00:00,71.15,81.2601,70.24,80.92,58187882.0
2025-11-19T05:00:00,76.625,77.6,73.1115,75.6,39223003.2
2025-11-18T05:00:00,75.75,78.75,74.7,76.9,56822950.0
2025-11-17T05:00:00,73.25,75.5,71.0,74.2,39668247.4
2025-11-14T05:00:00,75.625,76.45,70.65,72.25,44796258.6
2025-11-13T05:00:00,69.35,73.1,69.15,72.4,34721596.8
2025-11-12T05:00:00,66.925,69.25,66.9,68.15,25963603.0
2025-11-11T05:00:00,68.275,69.275,67.6,67.95,23132718.0
2025-11-10T05:00:00,68.975,69.6885,67.05,67.4,29860969.2
2025-11-07T05:00:00,72.675,76.05,72.075,72.15,45682546.6
2025-11-06T05:00:00,68.1,71.85,68.025,71.4,40968702.8
2025-11-05T05:00:00,69.2,69.65,66.5,67.55,27917763.8
2025-11-04T05:00:00,67.7,69.15,66.55,68.95,36451381.8
2025-11-03T05:00:00,64.0,65.65,63.75,64.95,23035148.8
2025-10-31T04:00:00,64.25,66.632,64.25,65.8,33841527.4
2025-10-30T04:00:00,64.9,66.75,64.5,66.75,35390070.4
2025-10-29T04:00:00,63.85,65.4935,63.4,63.8,29578132.4
2025-10-28T04:00:00,65.45,65.8,64.05,64.6,23468987.6
2025-10-27T04:00:00,67.35,67.5,65.95,66.1,22024394.4
2025-10-24T04:00:00,70.25,70.55,69.35,69.8,27380983.2
2025-10-23T04:00:00,74.1,74.2675,71.75,72.0,23555277.6
2025-10-22T04:00:00,72.0,75.9,71.8,73.95,34927943.0
2025-10-21T04:00:00,71.7,72.5,71.3,71.75,17696915.6
2025-10-20T04:00:00,73.35,73.35,71.25,71.65,20891767.0
2025-10-17T04:00:00,76.75,77.35,73.85,74.45,40094352.2
2025-10-16T04:00:00,74.0,77.541,72.75,75.85,36159013.6
2025-10-15T04:00:00,74.35,77.45,73.3,75.05,31972732.0
2025-10-14T04:00:00,77.6,79.55,74.85,76.55,38124801.4
2025-10-13T04:00:00,76.0,77.041,74.7,75.1,31876576.4
2025-10-10T04:00:00,72.4,80.35,71.75,80.15,58967617.0
2025-10-09T04:00:00,72.25,73.65,72.2,72.5,22504300.2
2025-10-08T04:00:00,74.45,74.55,72.1,72.2,21926419.2
2025-10-07T04:00:00,73.15,75.3,72.9,74.75,22724572.2
2025-10-06T04:00:00,73.35,74.225,72.95,73.55,20712152.8
2025-10-03T04:00:00,74.0,75.925,73.7,75.25,24836419.6
2025-10-02T04:00:00,73.75,75.25,73.7,74.2,20235904.8
2025-10-01T04:00:00,77.4,77.745,74.9,75.05,22497580.2
2025-09-30T04:00:00,76.95,77.8,76.05,76.15,21445240.2
2025-09-29T04:00:00,76.6,77.28,75.5,76.7,20127715.8
2025-09-26T04:00:00,78.5,79.8,77.7,77.75,20720124.6
2025-09-25T04:00:00,79.2,80.65,78.05,78.7,32496180.4
2025-09-24T04:00:00,76.35,78.75,76.2,77.65,20499599.4
2025-09-23T04:00:00,76.45,78.5,76.35,78.0,20372044.4
2025-09-22T04:00:00,78.2,78.2,76.2105,76.45,17420291.6
2025-09-19T04:00:00,78.65,79.2,77.5,77.75,20087738.4
2025-09-18T04:00:00,79.5,80.35,78.15,79.3,25518215.6
2025-09-17T04:00:00,81.05,83.801,80.8,81.5,31903833.8
2025-09-16T04:00:00,80.4,81.3,80.3,80.95,13062159.8
2025-09-15T04:00:00,82.15,82.1585,80.7,80.7,17396786.6
2025-09-12T04:00:00,83.6,83.95,82.3,82.8,15036726.8
2025-09-11T04:00:00,84.2,84.95,83.5,83.8,18179016.4
2025-09-10T04:00:00,83.95,86.25,83.9,85.25,19231854.0
2025-09-09T04:00:00,85.75,86.889,85.15,85.3,15150782.0
2025-09-08T04:00:00,86.25,86.55,85.121,86.0,15905558.4
2025-09-05T04:00:00,85.25,89.3495,84.95,87.25,25967926.8
2025-09-04T04:00:00,89.65,90.45,87.35,87.45,16979727.0
